,eps,minPts,sh,ri,ari,clusters,clusters_size
10,1.5,6,0.15855863478480567,0.5183720047370638,0.1091827769585861,108,"[  887 46559   286     7    16  2104   339    32     8   191   140   130
    64    35    33    22   162   350   103    14    20    51    18   123
   174   123     6    13   352     6    10    52    53    22    17    40
   123    23    12     7    15     6    16    16   830    66    23    51
     7     8    56    24  9639    35     8     8    13    10     7    44
    15     7     6    10    54    13     8     6     8     7     8     9
    85    25     6    16    16     7     9    10    12     6     6    12
     9     6     6    14     6     7     7     7     6     8     8     8
     8     2     7     6     6    51    50     9     9     6     4    19]"
11,1.5,8,0.2677016980918834,0.5183818283566328,0.10917917818520685,77,"[ 1132 46559   286    16  2104   339    32     8   191   140   130    64
    35    33    22   162   350   103    14    20    51    18   123   174
   123    13   352    10    52    53    22    17    40   123    23    12
    15    16    14   830    66    23    51     8    56    24  9610    35
     8     8    13    10    44    15    10    53    13     8     8     9
    83    25    16    16     9    10    12     9    12    12     8     8
     8    43    50     7    18]"
12,2.0,2,0.24747824247682265,0.5181652071006642,0.1095226954529821,220,"[  317 46569   286     3     2     3     4    20     8     3     2     5
     2    16  2106   341   392     8     4   194   140   131    64    22
    35    35    22     2   162   103    16    14    20    60     2    19
    18   123   174   123    16    14    13     2   353     2     8    11
    52    53    57     4    17    40   124    23     2    12     4     7
    30    13    16    16   832    71     2    23     7     2    51    15
     2     8    24     4     8    13    24  9737    35     9    14     5
     2     3     3     8    12     8     5     8     7    44     2     7
    10    54    13     8     7     2     6     5     2     4     2    17
     2     5     3     5     2     5     8     9    88     2    25     6
    16     4     3    16     3     3     2     5     2     2     3     2
     4     2     4     3     3     9     9     2     2     7     2     3
    12     3     3     6     2     2     2    10    17     2     3     2
     2     2     3     3     3     5     6     6     3     2     2     2
     3     2     2     4     5     4     7     3     7     3     2     2
     2     5     5     2     3     2     2     2     3     2     2     5
     2     2     3     2     3     2     3     3     5     8     3     5
     2     3     2     2     2     2    80     2    52     2     2     2
     2     2     2     2]"
13,2.0,4,0.2781338555468099,0.5181734938561722,0.10960585346974316,122,"[  556 46569   286    20     8     5    16  2106   341   391     8   194
   140   131    64    22    35    35    22   162   103    16    14    20
    60    19    18   123   174   123    16    14    13   353     8    11
    52    53    57     4    17    40   124    23    12     7    28    16
    13    16   832    71    23    51    15     8    24     4     8    24
  9737    13    35    14     5     8     8     5     8     7    11     7
    44     7    10    54    13     8     7     6     5     4    16     5
     5     5     8     9    86    25     6    16     4    16     5     4
     4     9     9     7    12     6    10    16     5     6     6     4
     4     5     4     7     7     5     5     9     5     5     8     5
    80    52]"
14,2.0,6,0.2724829665153737,0.5181886187116603,0.10967751842863772,97,"[  696 46569   286     8    16    16  2106   341   391     8   194   140
   131    64    22    35    34    22   162   103    16    14    20    60
    18    18   123   174   123    16    14    13   353     7    11    52
    53    57    17    40   124    23    12     7    28    16    16   831
    71    23    51    15     8    21     8    24  9735    10    35    14
     8     8    11     7    44     7    10    54    13     8     6    16
     8     9    86    25     6    16    16     9     7     8    12     8
     6    15    12    10     6     6     7     7     9     8     6    78
    52]"
15,2.0,8,0.27296159977648565,0.5181961537559862,0.1096689605740478,84,"[  834 46569   286     8    16    14  2106   340    32     8   194   140
   131    64    35    34    22   162   357   103    14    20    60    18
   123   174   123    18    13   353    11    52    53    22    57    17
    40   124    23    12    21    16    16   831    71    23    51    15
     8    21     8    24  9722    35    14     8     8    11    44    10
    54    13     8     8     9    86    25    16    16    15     9    12
    14    11    11    15     9     9     8     8     7     8    77    52]"
16,2.5,2,0.29800592321932995,0.5175648099027762,0.11504700697090973,163,"[  226 46584  2432     3    14     3     4    20     2     2   536   869
   442    10     7   195    64    22     2    65    36    26     5   103
    16    14    20   113     2    18    13     4   365     4 10593     8
    14    77    53     4   188    23    12     4     7    48    20    79
    23    31     2    52     2     4     2    24     9    14     5     2
     3     3     8     8     5     8     7     2     7     2    13    15
    13     2     6     2     4    21     6     5     5     8   115     2
     9     5     3    16     5     2    10     2     2    10     2     4
     4     9     2     2     2     2    12     3     6     2     3     3
     3     3     2     2     2    14     9     2     6     2     2     3
     2     4     7     3     7     3     2     2     2     2     2     2
     2     2     2     2     2     5     2     2     2     3     6     3
     4     3     5     8     3     6     2     3     2     2     2     2
    83    52     2     2     2     2     2]"
17,2.5,4,0.35641533069951153,0.5175655960249795,0.11508202187506225,92,"[  402 46584  2431     4    20    12   535   869   442     9   195    64
    22    65    36    26     4   103    16    14    20   113    18    13
   365     4     8    14    77    53     4   188    23    12     7    45
    20 10593    79    23    31    52     4    24     9    14     5     8
     8     5     8     7     7    13    10    13     6     5     4    21
     6     5     5     8   115     9     5    16     5    10    10     4
     4     9     4    12     6    14     9     6     4     4     7     7
     5     6     5     4     8     6    83    52]"
18,2.5,6,0.3547953732921411,0.5175716310395769,0.1150957874936773,71,"[  507 46584  2431    20    12   535   868   442     9   195    64    22
    65    35    26   103    16    14    20   113    18    13   365     7
    14    77    53   188    23    12     7    45    17 10589    79    23
    52    24     9    14     8     8     8     7     7    31    13    10
    13     6     5    21     6     8   115     9    16     9    12     6
    13     9     6     7     7    10    10     8     6    83    52]"
19,2.5,8,0.34891703387457373,0.5175667330426671,0.11507301221353784,59,"[  613 46584  2411    12   535    18   868   442     9   195    64    22
    65    35    25   103    14    20   113    18    13   365    14    77
    53   188    23    12    44    17 10586    79    23    52    20    24
     9    14     8     8     8    28    13    10    11    21     8   115
     9    16     9    12    11    13     9     9     8    82    52]"
