,eps,minPts,sh,ri,ari,cluster
0,0.4,20,0.25814741018602466,0.9053062042405844,0.40646066506572137,63
1,0.4,22,0.25937935450147637,0.9048577506032748,0.4042649629189503,56
2,0.4,24,0.2424835003895031,0.9045943264811293,0.40376562268599564,57
3,0.4,26,0.2218334911118774,0.9040401859350388,0.40206488298616744,56
4,0.4,28,0.23483675631626041,0.9033279117218459,0.4013676884173251,47
5,0.4,30,0.24640878281375006,0.9030559648136665,0.4008225352187462,48
6,0.4,32,0.25026226781789607,0.9023854961139752,0.39870501365780436,44
7,0.4,34,0.24452732730579554,0.9021346431618125,0.39835720412299874,43
8,0.4,36,0.2731542501587165,0.901756506265415,0.3978948621349967,40
9,0.4,38,0.2722606428354032,0.9016433056374484,0.397608224394821,40
10,0.5,20,0.3391380364902455,0.90522980450351,0.4138411642997293,64
11,0.5,22,0.34140370082960164,0.905029366120767,0.4135535747955266,60
12,0.5,24,0.3450335505514426,0.9048667028000806,0.41391766019398823,54
13,0.5,26,0.3492258349775091,0.904740456517768,0.4139724173318416,51
14,0.5,28,0.34227803461536715,0.9044718246995216,0.4134063932743204,48
15,0.5,30,0.32175956316917176,0.9042314981272206,0.4128195720750725,47
16,0.5,32,0.3205481665003054,0.903972353088265,0.41225913528058655,45
17,0.5,34,0.2866676704949384,0.9036324041861791,0.41075692496987326,44
18,0.5,36,0.27565199683201014,0.9034214951597354,0.40945439712495213,45
19,0.5,38,0.2684374608776814,0.9031168471188132,0.4086711496284389,44
20,0.6,20,0.3711942756673899,0.878310455168289,0.3789896345616586,57
21,0.6,22,0.3697633304974171,0.8782798046416146,0.37909941750465775,55
22,0.6,24,0.3461964463812707,0.8783710709091868,0.37967803834202135,51
23,0.6,26,0.33737499356839024,0.8782124138068318,0.379303462009139,49
24,0.6,28,0.3386650370368177,0.878559047170958,0.3801175670078877,48
25,0.6,30,0.3621440263801402,0.8783658016609774,0.38003186268661165,45
26,0.6,32,0.374962234345761,0.9029070266438299,0.42862152651300633,47
27,0.6,34,0.3795235006170664,0.9026574924577063,0.42817156064135314,45
28,0.6,36,0.3809741738520825,0.9025051563206885,0.4282430441151914,41
29,0.6,38,0.3802475646869009,0.9023106933390835,0.4277351100472659,39
30,0.7,20,0.2942106461656827,0.8375211136635963,0.29223492268626444,60
31,0.7,22,0.3740317336091006,0.8774390377364835,0.37696966190121617,55
32,0.7,24,0.37146823167527204,0.8774222606673137,0.3772752990073676,52
33,0.7,26,0.3746149595041063,0.8773207573632554,0.377335868550906,48
34,0.7,28,0.3771050687387844,0.8773304743571249,0.3776106729857952,46
35,0.7,30,0.37548584894535886,0.8772818341362789,0.37774113797948017,44
36,0.7,32,0.37672160840382507,0.8785025195563153,0.38094112710472233,42
37,0.7,34,0.37579356248068474,0.8784825708572448,0.3808711753321744,42
38,0.7,36,0.3739183172895174,0.8784598663685018,0.38110313104947585,40
39,0.7,38,0.3435815357182703,0.8783041283870046,0.38076256712196693,40
40,0.8,20,0.29073849572048827,0.5985786112808232,0.12932796597803548,52
41,0.8,22,0.28774133369898175,0.5985879972503617,0.12941626677252552,51
42,0.8,24,0.28593447449736625,0.5985771917050318,0.12958666667491747,48
43,0.8,26,0.28558945532756114,0.5985043203092896,0.12969305330268338,44
44,0.8,28,0.28483705244521296,0.5984595491473523,0.12966810350940683,43
45,0.8,30,0.28541799156044007,0.5984462897569448,0.129987306314709,39
46,0.8,32,0.22490745053840572,0.7320976731092478,0.20190937077518334,39
47,0.8,34,0.22381065214504894,0.7321293603285197,0.20214573563311689,37
48,0.8,36,0.22535642651128837,0.7321070663487202,0.20238399837341678,35
49,0.8,38,0.22435707513294603,0.7320941510685252,0.20249623487883672,34
